Tailwater,Headwater,Flow
3.20,3.20,20.00
3.20,3.21,40.00
3.20,3.21,60.00
3.20,3.23,80.00
3.20,3.24,100.00
3.20,3.26,120.00
3.20,3.28,140.00
3.20,3.30,160.00
3.20,3.33,180.00
3.20,3.36,200.00
3.20,3.39,220.00
3.20,3.43,240.00
3.20,3.47,260.00
3.20,3.51,280.00
3.20,3.55,300.00
3.20,3.60,320.00
3.20,3.65,340.00
3.20,3.70,360.00
3.20,3.76,380.00
3.20,3.82,400.00
3.20,3.88,420.00
3.20,3.94,440.00
3.20,4.00,460.00
3.20,4.07,480.00
3.20,4.14,500.00
3.20,4.21,520.00
3.20,4.29,540.00
3.20,4.36,560.00
3.20,4.44,580.00
3.20,4.52,600.00
3.20,4.60,620.00
3.30,3.30,0.00
3.30,3.30,20.00
3.30,3.31,40.00
3.30,3.31,60.00
3.30,3.32,80.00
3.30,3.34,100.00
3.30,3.35,120.00
3.30,3.37,140.00
3.30,3.40,160.00
3.30,3.42,180.00
3.30,3.45,200.00
3.30,3.48,220.00
3.30,3.51,240.00
3.30,3.55,260.00
3.30,3.59,280.00
3.30,3.63,300.00
3.30,3.68,320.00
3.30,3.72,340.00
3.30,3.77,360.00
3.30,3.83,380.00
3.30,3.88,400.00
3.30,3.94,420.00
3.30,4.00,440.00
3.30,4.06,460.00
3.30,4.13,480.00
3.30,4.19,500.00
3.30,4.26,520.00
3.30,4.33,540.00
3.30,4.41,560.00
3.30,4.48,580.00
3.30,4.56,600.00
3.30,4.63,620.00
3.40,3.40,0.00
3.40,3.40,20.00
3.40,3.41,40.00
3.40,3.41,60.00
3.40,3.42,80.00
3.40,3.44,100.00
3.40,3.45,120.00
3.40,3.47,140.00
3.40,3.49,160.00
3.40,3.51,180.00
3.40,3.54,200.00
3.40,3.57,220.00
3.40,3.60,240.00
3.40,3.64,260.00
3.40,3.67,280.00
3.40,3.71,300.00
3.40,3.76,320.00
3.40,3.80,340.00
3.40,3.85,360.00
3.40,3.90,380.00
3.40,3.95,400.00
3.40,4.01,420.00
3.40,4.06,440.00
3.40,4.12,460.00
3.40,4.18,480.00
3.40,4.25,500.00
3.40,4.31,520.00
3.40,4.38,540.00
3.40,4.45,560.00
3.40,4.52,580.00
3.40,4.60,600.00
3.40,4.67,620.00
3.50,3.50,0.00
3.50,3.50,20.00
3.50,3.51,40.00
3.50,3.51,60.00
3.50,3.52,80.00
3.50,3.53,100.00
3.50,3.55,120.00
3.50,3.57,140.00
3.50,3.59,160.00
3.50,3.61,180.00
3.50,3.63,200.00
3.50,3.66,220.00
3.50,3.69,240.00
3.50,3.72,260.00
3.50,3.76,280.00
3.50,3.80,300.00
3.50,3.84,320.00
3.50,3.88,340.00
3.50,3.93,360.00
3.50,3.97,380.00
3.50,4.02,400.00
3.50,4.08,420.00
3.50,4.13,440.00
3.50,4.19,460.00
3.50,4.25,480.00
3.50,4.31,500.00
3.50,4.37,520.00
3.50,4.44,540.00
3.50,4.50,560.00
3.50,4.57,580.00
3.50,4.64,600.00
3.50,4.71,620.00
3.60,3.60,0.00
3.60,3.60,20.00
3.60,3.61,40.00
3.60,3.61,60.00
3.60,3.62,80.00
3.60,3.63,100.00
3.60,3.65,120.00
3.60,3.66,140.00
